tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender
606,2/21/2015 13:05,2/21/2015 13:15,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1103,Subscriber,1979,1
227,2/21/2015 13:07,2/21/2015 13:11,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1286,Customer,1956,1
179,2/21/2015 13:15,2/21/2015 13:18,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,898,Subscriber,1988,1
391,2/21/2015 13:19,2/21/2015 13:25,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1266,Subscriber,1990,1
481,2/21/2015 13:19,2/21/2015 13:27,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,776,Subscriber,1975,1
566,2/21/2015 13:19,2/21/2015 13:28,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,117,Binney St / Sixth St,42.366095,-71.086388,1118,Subscriber,1977,1
434,2/21/2015 13:20,2/21/2015 13:28,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1325,Customer,1994,1
844,2/21/2015 13:29,2/21/2015 13:43,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1078,Subscriber,1986,2
1187,2/21/2015 13:35,2/21/2015 13:55,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,782,Customer,1957,1
329,2/21/2015 13:43,2/21/2015 13:48,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,756,Subscriber,1990,1
510,2/21/2015 13:43,2/21/2015 13:52,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1110,Subscriber,1992,1
393,2/21/2015 13:44,2/21/2015 13:50,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,886,Customer,1970,1
296,2/21/2015 13:51,2/21/2015 13:56,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,751,Subscriber,1986,1
346,2/21/2015 14:05,2/21/2015 14:11,115,Porter Square Station,42.387995,-71.119084,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,888,Subscriber,1986,1
979,2/21/2015 14:15,2/21/2015 14:31,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1077,Subscriber,1985,1
204,2/21/2015 14:28,2/21/2015 14:31,107,Ames St at Main St,42.3625,-71.08822,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1041,Customer,1993,1
363,2/21/2015 14:30,2/21/2015 14:36,107,Ames St at Main St,42.3625,-71.08822,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1109,Subscriber,1986,2
1558,2/21/2015 14:38,2/21/2015 15:04,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,115,Porter Square Station,42.387995,-71.119084,1266,Subscriber,\N,0
560,2/21/2015 14:38,2/21/2015 14:47,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,852,Customer,1986,1
1659,2/21/2015 14:46,2/21/2015 15:14,142,Alewife Station at Russell Field,42.396105,-71.139459,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,655,Subscriber,1989,1
472,2/21/2015 15:00,2/21/2015 15:08,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,141,Kendall Street,42.36356016,-71.08216792,917,Subscriber,1991,1
486,2/21/2015 15:02,2/21/2015 15:10,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1294,Subscriber,1988,2
677,2/21/2015 15:07,2/21/2015 15:18,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1100,Customer,1982,1
621,2/21/2015 15:17,2/21/2015 15:27,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1092,Subscriber,1987,1
507,2/21/2015 15:27,2/21/2015 15:35,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1103,Subscriber,1979,1
805,2/21/2015 15:30,2/21/2015 15:43,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1010,Subscriber,1989,1
153,2/21/2015 15:34,2/21/2015 15:37,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,892,Customer,1973,1
344,2/21/2015 15:40,2/21/2015 15:45,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,801,Subscriber,1974,2
241,2/21/2015 15:45,2/21/2015 15:49,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,949,Customer,1993,1
534,2/21/2015 15:45,2/21/2015 15:54,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1139,Customer,1962,2
